x_axis k1_alu_fte k1_alu_ste k1_lu90_fte k1_lu90_ste k1_mlu_fte k1_mlu_ste k1_stretch_fte k1_stretch_ste k4_alu_fte k4_alu_ste k4_lu90_fte k4_lu90_ste k4_mlu_fte k4_mlu_ste k4_stretch_fte k4_stretch_ste 
50 0.287538 0.238433 0.577916 0.562336 0.640519 0.703993 5.48937 5.584998 0.287553 0.243828 0.577782 0.592908 0.640519 0.660481 5.489565 5.619864 
51 0.287758 0.238579 0.578396 0.562568 0.642081 0.704889 5.49021 5.588106 0.287758 0.243972 0.578296 0.593689 0.642081 0.661235 5.490324 5.621412 
52 0.287923 0.238772 0.579305 0.562913 0.643369 0.705705 5.491284 5.590311 0.287914 0.244049 0.578886 0.594745 0.643318 0.661635 5.491422 5.622789 
53 0.288216 0.238954 0.57985 0.563444 0.644627 0.707174 5.492187 5.592714 0.28818 0.244164 0.579599 0.595449 0.644565 0.66275 5.492187 5.624574 
54 0.288428 0.239046 0.580458 0.563895 0.645331 0.70764 5.493039 5.595858 0.28839 0.244285 0.580149 0.596607 0.64531 0.664658 5.493039 5.625699 
55 0.288567 0.239133 0.58101 0.564428 0.64614 0.708547 5.494143 5.597547 0.288532 0.244473 0.580723 0.597876 0.646091 0.665958 5.494314 5.627328 
56 0.288784 0.239268 0.581603 0.564892 0.64684 0.709968 5.495769 5.599155 0.288754 0.244675 0.58142 0.598505 0.646806 0.666564 5.495769 5.628867 
57 0.288969 0.239405 0.582146 0.56547 0.647277 0.711198 5.496447 5.600508 0.288908 0.244944 0.58201 0.599172 0.647273 0.668011 5.496459 5.630403 
58 0.289225 0.239517 0.582638 0.565927 0.647628 0.712116 5.497626 5.601873 0.289115 0.245194 0.582526 0.60014 0.647549 0.668281 5.497632 5.631345 
59 0.289516 0.239621 0.583479 0.566591 0.648878 0.713479 5.498697 5.603616 0.289513 0.24542 0.583386 0.601175 0.648844 0.669193 5.498697 5.632953 
60 0.289878 0.239729 0.584107 0.567039 0.649674 0.714687 5.499606 5.605389 0.289851 0.245573 0.584004 0.602575 0.649591 0.670108 5.499627 5.635044 
61 0.290091 0.239842 0.584988 0.567501 0.650053 0.716271 5.500572 5.607393 0.290071 0.245742 0.584817 0.60329 0.649999 0.671167 5.500596 5.635836 
62 0.290389 0.239906 0.585837 0.567837 0.650809 0.717171 5.502267 5.608812 0.29036 0.245862 0.585756 0.604363 0.650755 0.671695 5.502315 5.637906 
63 0.29065 0.239985 0.586892 0.568189 0.651494 0.718127 5.50341 5.611788 0.290599 0.24603 0.586785 0.605532 0.651472 0.67211 5.503536 5.638848 
64 0.290859 0.240128 0.587649 0.568849 0.651981 0.719647 5.505198 5.613774 0.290842 0.246115 0.587522 0.606506 0.651938 0.673399 5.50521 5.640393 
65 0.291068 0.240322 0.588902 0.569408 0.65281 0.721568 5.506167 5.616183 0.291053 0.24625 0.588732 0.607399 0.652807 0.674555 5.506188 5.640969 
66 0.291413 0.240421 0.589521 0.569918 0.653844 0.722211 5.50689 5.618631 0.291329 0.246558 0.58952 0.608604 0.653832 0.675292 5.506977 5.641923 
67 0.291649 0.240549 0.590447 0.570461 0.65429 0.72424 5.508882 5.622618 0.29162 0.246804 0.590348 0.609329 0.65429 0.676413 5.508969 5.642808 
68 0.291965 0.240604 0.591439 0.570906 0.654735 0.725964 5.510709 5.624574 0.291937 0.247061 0.591424 0.610997 0.654735 0.677248 5.510709 5.644143 
69 0.292772 0.240692 0.592109 0.571549 0.656744 0.727484 5.512593 5.6277 0.292772 0.247493 0.592109 0.612867 0.656744 0.679167 5.512698 5.645415 
70 0.293372 0.240784 0.592684 0.571973 0.657505 0.728161 5.513979 5.629356 0.293372 0.247821 0.592684 0.61445 0.657505 0.679699 5.514054 5.646468 
71 0.293755 0.240867 0.59343 0.572736 0.659184 0.732622 5.515302 5.63283 0.293798 0.248158 0.59343 0.616761 0.659184 0.682083 5.515302 5.648235 
72 0.294412 0.241 0.5948 0.573409 0.66056 0.733474 5.516214 5.635572 0.294472 0.248385 0.5948 0.617651 0.66056 0.683385 5.516202 5.649183 
73 0.294896 0.241096 0.595845 0.574034 0.662074 0.734153 5.517786 5.637774 0.294975 0.248645 0.595845 0.619086 0.662074 0.683789 5.517771 5.650554 
74 0.295474 0.24128 0.597237 0.574984 0.663582 0.73551 5.518995 5.641449 0.295494 0.249709 0.597168 0.62109 0.663582 0.685332 5.518878 5.651709 
75 0.295872 0.241477 0.597876 0.575886 0.664505 0.737085 5.520366 5.647275 0.29592 0.250372 0.597876 0.621839 0.664505 0.686563 5.520168 5.653326 
76 0.296291 0.241687 0.599314 0.576634 0.665435 0.744432 5.521191 5.653656 0.296416 0.250756 0.599156 0.622799 0.665435 0.687484 5.520996 5.654772 
77 0.29694 0.241917 0.600528 0.577322 0.666536 0.748135 5.523381 5.657772 0.296946 0.251214 0.600165 0.624256 0.666536 0.688332 5.522664 5.655555 
78 0.297581 0.242183 0.602634 0.577938 0.667346 0.751374 5.524977 5.661873 0.297638 0.252112 0.601932 0.625742 0.667346 0.69086 5.524767 5.656632 
79 0.298177 0.242345 0.604334 0.578791 0.667753 0.75456 5.527332 5.666964 0.298191 0.252619 0.603934 0.627336 0.667753 0.691602 5.526753 5.658108 
80 0.298537 0.242648 0.605724 0.579769 0.668293 0.758019 5.529546 5.67423 0.298562 0.25324 0.605529 0.630497 0.668293 0.693061 5.529474 5.659815 
81 0.299001 0.24312 0.607486 0.58062 0.669328 0.763079 5.53089 5.677797 0.299052 0.253496 0.607296 0.632645 0.669328 0.694874 5.530836 5.66109 
82 0.299485 0.243473 0.608844 0.581736 0.669892 0.766492 5.53461 5.683704 0.299485 0.254082 0.608702 0.635558 0.669892 0.696836 5.534259 5.663052 
83 0.299873 0.243863 0.609908 0.582622 0.670914 0.7672 5.536905 5.690919 0.299873 0.254856 0.609841 0.638381 0.670914 0.699086 5.536971 5.665803 
84 0.30036 0.244316 0.610927 0.583512 0.67221 0.774886 5.539149 5.696844 0.30036 0.25562 0.610913 0.641295 0.67221 0.702342 5.539623 5.668839 
85 0.301028 0.245005 0.612334 0.584583 0.673243 0.782478 5.541645 5.703579 0.301028 0.256454 0.612379 0.64405 0.673243 0.703493 5.541921 5.670318 
86 0.301661 0.245566 0.613668 0.585716 0.673999 0.790077 5.545107 5.711541 0.301659 0.257736 0.613774 0.647854 0.673999 0.709076 5.545107 5.673021 
87 0.302326 0.246371 0.615108 0.587057 0.675211 0.821079 5.547312 5.719869 0.302301 0.258696 0.61545 0.650273 0.675211 0.713037 5.547915 5.675445 
88 0.302783 0.247104 0.617469 0.587903 0.675752 0.830977 5.55183 5.729352 0.302744 0.259712 0.617539 0.652956 0.675752 0.724911 5.551881 5.677125 
89 0.303337 0.248109 0.618787 0.589928 0.67673 0.837613 5.556435 5.747352 0.30332 0.26139 0.618964 0.656719 0.67673 0.733831 5.556483 5.679906 
90 0.303568 0.24914 0.619944 0.591715 0.677999 0.849837 5.560074 5.787288 0.303529 0.264735 0.620099 0.65728 0.677999 0.73621 5.560218 5.682768 
91 0.304011 0.250285 0.621732 0.59327 0.679553 0.90793 5.564964 5.818431 0.304048 0.272 0.621732 0.659984 0.679553 0.740901 5.564964 5.68497 
92 0.304415 0.252103 0.623191 0.594716 0.684423 1.367835 5.569362 5.93958 0.304428 0.279171 0.623191 0.664417 0.684423 0.872324 5.56791 5.687001 
93 0.305217 0.2534 0.625274 0.5967 0.69193 1.69388 5.573529 5.976033 0.305361 0.28486 0.625274 0.665889 0.69193 1.03776 5.573529 5.693916 
94 0.305983 0.254645 0.626455 0.599468 0.695279 1.729812 5.580693 5.992461 0.306028 0.286159 0.62624 0.670391 0.695279 1.052281 5.580825 5.699082 
95 0.306884 0.256371 0.628396 0.601396 0.699537 1.749949 5.587422 6.004809 0.306954 0.28684 0.62796 0.673775 0.699537 1.061523 5.587833 5.703072 
96 0.307674 0.257916 0.631668 0.60691 0.704358 1.800013 5.598993 6.031173 0.307694 0.28788 0.631796 0.677875 0.704358 1.075932 5.598993 5.711958 
97 0.308291 0.259096 0.635554 0.610193 0.705749 1.834735 5.609976 6.049275 0.308483 0.288683 0.637665 0.68243 0.705749 1.088423 5.608569 5.722167 
98 0.310366 0.259955 0.641258 0.617383 0.729506 1.861195 5.636022 6.085089 0.310366 0.289743 0.641258 0.685581 0.729506 1.09703 5.636022 5.736642 
99 0.311306 0.26111 0.646303 0.62631 0.744942 1.894939 5.657199 6.10569 0.311306 0.2914 0.646303 0.694185 0.744942 1.10871 5.657199 5.747481 
100 0.353889 0.263609 0.733337 0.650384 2.751034 1.957195 5.8704 6.147165 0.353889 0.294806 0.733337 0.714811 2.751034 1.161498 5.8704 5.81202 
