timeseries lftoe_perf hftoe_perf static_perf cluster_indices
128 874.863531 960.96579361 636.954714062 2 
129 517.725909256 517.725909256 362.408136479 2 
130 616.373580567 670.078359078 482.227513964 2 
131 777.338012412 359.093482828 545.726038138 1 
132 620.504937594 620.504937594 434.353456316 2 
133 861.316090747 767.366655499 640.141193651 1 
134 757.523249376 757.523249376 530.266274564 2 
135 700.456135695 801.90997932 570.633043386 2 
136 692.113094228 365.241774154 484.47916596 1 
137 600.776789043 600.776789043 420.54375233 1 
138 612.906756523 573.909427343 403.906680957 0 
139 593.901409886 593.901409886 415.73098692 0 
140 708.990730203 721.323884079 508.099318366 2 
141 762.578646593 698.503996487 539.58754361 1 
142 711.490591546 741.187720137 518.831404096 1 
143 711.654697058 730.625558919 511.437891243 2 
144 643.342055331 654.636073979 458.245251785 2 
145 747.357877063 749.859982221 530.633735574 2 
146 710.680968337 319.0000791 514.166220602 1 
147 715.881633778 617.233729025 501.117143644 2 
148 509.83962574 522.942304848 366.059613394 0 
149 627.761497921 627.761497915 439.433048544 1 
150 562.080803847 573.203784569 407.013289715 1 
151 589.865326609 636.980813234 445.886569264 1 
152 545.66216264 545.66216264 381.963513848 0 
153 528.804532579 528.804532578 370.163172805 2 
154 514.785646854 514.78564685 360.349952798 0 
155 809.087700566 834.654953692 584.258467585 2 
156 628.003990874 702.639464874 491.847625412 2 
157 670.210809201 594.388998219 497.125070948 1 
158 773.798723589 652.226414047 584.660632462 2 
159 868.663930959 753.12490967 621.502379904 1 
160 633.619778849 618.921839925 443.533845195 2 
161 692.762633099 692.762633099 484.933843169 2 
162 854.08633054 830.466010419 597.860431378 1 
163 559.419457308 559.419457307 391.593620115 0 
164 613.865974709 623.859851973 436.701896381 0 
165 560.937030317 540.0551774 400.473306154 0 
166 709.727260713 725.767852975 526.436174994 1 
167 642.328906276 657.276100639 460.093270447 1 
168 446.660742076 463.022121402 337.62508245 0 
169 608.659293749 608.659293744 426.061505625 1 
170 652.459400927 652.459400927 456.721580649 1 
171 788.211537874 872.89712524 584.651442961 1 
172 845.819290582 864.317736159 613.783674355 2 
173 425.336825746 368.891081643 297.735778023 1 
174 616.515027437 616.515027435 431.560519206 0 
175 507.125757168 507.125757168 354.988030018 0 
176 837.710864381 874.747200696 612.323040488 1 
177 571.340774914 571.340774914 399.93854244 0 
178 786.358160919 808.204483159 556.697074132 2 
179 562.778465926 562.778465926 393.944926148 0 
