x_range mlu lu90 lu50 ahc 
89 0.470167815685 0.31259188056 0.180285036564 1.37616086006 
90 0.475057125092 0.315651655197 0.182050302625 1.37659215927 
91 0.479502886534 0.318745493889 0.183923959732 1.3770750761 
92 0.485083669424 0.322813361883 0.185995861888 1.37748599052 
93 0.491756856441 0.326989978552 0.18829703331 1.37809765339 
94 0.499183952808 0.332945913076 0.191287249327 1.37864089012 
95 0.506844699383 0.338798940182 0.194432318211 1.37924158573 
96 0.516060113907 0.34578961134 0.198395311832 1.37987434864 
97 0.528428196907 0.355896651745 0.202966526151 1.38084304333 
98 0.544577002525 0.369800329208 0.209093600512 1.38200449944 
99 0.572224378586 0.388103872538 0.217697560787 1.38386893272 
100 0.761689841747 0.458385884762 0.26139190793 1.39524495602 
