x_range single_static_y single_ideal_y multi_static_y multi_ideal_y 
52 0.0407400514777 0.0379356647619 0.0424611474237 0.0379356647619 
53 0.040806167125 0.0380080152381 0.0425386611499 0.0380080152381 
54 0.0408725758829 0.0380921447619 0.0426120070557 0.0380921447619 
55 0.0409504348768 0.0381685942857 0.0426907006477 0.0381685942857 
56 0.0410305594526 0.0382617447619 0.042774225482 0.0382617447619 
57 0.0411050918806 0.0383453866667 0.0428554933027 0.0383453866667 
58 0.0411871246768 0.0384253561905 0.0429313017292 0.0384253561905 
59 0.0412527193344 0.0384938514286 0.0429907785614 0.0384938514286 
60 0.0413172715029 0.0385762438095 0.043079149861 0.0385762438095 
61 0.0413815956664 0.0386460647619 0.0431606702921 0.0386460647619 
62 0.0414588469174 0.0387168304762 0.0432560639721 0.0387168304762 
63 0.0415542553314 0.0388048152381 0.0433334418697 0.0388048152381 
64 0.0416440145742 0.0388880152381 0.0434107404038 0.0388880152381 
65 0.0417461764688 0.0389707580953 0.0435049233261 0.0389707580952 
66 0.0418210700386 0.0390536685714 0.0436031611426 0.0390536685714 
67 0.0418987174027 0.0391455238095 0.043671327595 0.0391455238095 
68 0.0419790047553 0.0392440990476 0.0437608381665 0.0392440990476 
69 0.0420808085384 0.0393318704762 0.0438455420624 0.0393318704762 
70 0.0421450687322 0.0394111085714 0.0439218214024 0.0394111085714 
71 0.042239708946 0.0395166780953 0.0440180571935 0.0395166780952 
72 0.0423131111676 0.0395970133334 0.044112078797 0.0395970133333 
73 0.0424074841758 0.0397041371429 0.0442100188008 0.0397041371429 
74 0.0424985682874 0.0397905676191 0.0442856462642 0.039790567619 
75 0.0426020250678 0.0398929219048 0.0443858959086 0.0398929219048 
76 0.0426999151794 0.04001152 0.0445115464754 0.04001152 
77 0.0428018436634 0.0401131428572 0.0445906121921 0.0401131428571 
78 0.042882336023 0.0402263314286 0.044681816787 0.0402263314286 
79 0.0429947034232 0.0403375847619 0.0447841608117 0.0403375847619 
80 0.0431035645248 0.0404471771429 0.0448924393415 0.0404471771429 
81 0.0432228790649 0.0405807390476 0.0450110642824 0.0405807390476 
82 0.0433564158426 0.0406969904762 0.0451637657016 0.0406969904762 
83 0.0434715745838 0.0407927161905 0.0452793988816 0.0407927161905 
84 0.0436195273971 0.0409415161905 0.045420276526 0.0409415161905 
85 0.0437536992914 0.0410952228572 0.0455602749639 0.0410952228571 
86 0.0438829375812 0.0412206780953 0.0457242184569 0.0412206780952 
87 0.0440502737111 0.0413836038095 0.0458722166849 0.0413836038095 
88 0.0442315921511 0.0415456152381 0.0460318075014 0.0415456152381 
89 0.0444082933898 0.0417215390476 0.0462390352277 0.0417215390476 
90 0.044585628197 0.0419191009524 0.0464326849222 0.0419191009524 
91 0.0447856012201 0.04220064 0.0466545426978 0.04220064 
92 0.0449848214563 0.0424116571429 0.0468768175195 0.0424116571429 
93 0.0452810510839 0.0427043047619 0.0472124616888 0.0427043047619 
94 0.0456986740908 0.0430695009524 0.0474905136138 0.0430695009524 
95 0.0460728562772 0.04343296 0.0478852641281 0.04343296 
96 0.0465639213385 0.0439093942857 0.0482777433198 0.0439093942857 
97 0.047136493564 0.0444978133334 0.0489133682162 0.0444978133333 
98 0.0479573379454 0.0453869561905 0.0498291103668 0.0453869561905 
99 0.0534007936253 0.0517730285715 0.0563981116597 0.0517730285714 
